Name,Address
THCS Ninh Hiệp,"Xã Ninh Hiệp, Huyện Gia Lâm, Hà Nội"
THCS Phù Đổng,"Xã Phù Đổng, Huyện Gia Lâm, TP Hà Nội"
THCS Thị Trấn Yên Viên,"Xã Yên Viên, H. Gia Lâm, TP. Hà Nội"
THCS Đông Dư,"Xã Đông Dư, H. Gia Lâm, TP. Hà Nội"
Trường THCS Trung Mầu,"Thôn trung xã trung mầu, Huyện Gia Lâm, Hà Nội"
TH&THCS Hanoi Victoria,"Khu Nội Thương, Dương Xá, Gia Lâm, Hà Nội"
THCS Trung Văn,"đường Trung Văn, phường Trung Văn, quận Nam Từ Liêm, Tp Hà Nội"
THCS Tây Mỗ,"Số 2 phố Cầu Cốc, Phường Tây Mỗ, Q. Nam Từ Liêm, Hà Nội"
THCS Đại Mỗ,Số 1 tổ dân phố Ngọc Trục – Phường Đại Mỗ – Quận Nam Từ Liêm
THCS Phương Canh,"Hòe Thị, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội"
THCS Phú Đô,"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm"
THCS Nam Từ Liêm,Khu đô thị mới Xuân Phương – Phường Xuân Phương – Quận Nam Từ Liêm – Hà Nội
THCS Mỹ Đình 1,"Tổ dân phố số 3, phường Mỹ Đình 1, quận Nam Từ Liêm, Hà Nội"
THCS Mỹ Đình 2,"254 Đường Mỹ Đình, Mỹ Đình, Từ Liêm, Hà Nội"
THCS Mễ Trì,"Đồng Me, Mễ Trì, Nam Từ Liêm, Hà Nội"
THCS Lý Nam Đế,TDP Số 4 Miêu Nha – Phường Tây Mỗ – Quận Nam Từ Liêm – Hà Nội
THCS Trần Quốc Tuấn,"Phú Mỹ, Mỹ Đình, Từ Liêm, Hà Nội"
THCS Việt Úc,"Lưu Hữu Phước, Khu đô thị Mỹ Đình I, Nam Từ Liêm, Hà Nội"
THCS Lômônôxốp,"Trần Văn Cẩn, Phường Mỹ Đình 2, Trần Văn Cẩn, Mỹ Đình, Từ Liêm, Hà Nội"
THCS Marie Curie,"Phố Trần Văn Lai, Mễ Trì, Nam Từ Liêm, Hà Nội"
THCS Thị Trấn Văn Điển,"Khu đô thị mới Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội"
THCS Tứ Hiệp,"Xã Tứ Hiệp, huyện Thanh Trì, thành phố Hà Nội"
THCS Vạn Phúc,"Thôn 1 xã vạn phúc, Xã Vạn Phúc, Huyện Thanh Trì, Hà Nội"
THCS Vĩnh Quỳnh,Xã Vĩnh Quỳnh – Thanh Trì – Hà Nội
THCS Yên Mỹ,Xóm 7 – Yên Mỹ – Thanh Trì – Hà Nội
THCS Chu Văn An,"Tứ Hiệp, Thanh Trì, Hà Nội"
THCS Đại Áng,Xã Đại Áng – Thanh Trì – Hà Nội
THCS Đông Mỹ,Thôn 2 – Xã Đông Mỹ – H.Thanh Trì – TP Hà Nội
THCS Thanh Liệt,"Thôn Trung, Xã Thanh Liệt, Huyện Thanh Trì, Thành phố Hà Nội"
THCS Tả Thanh Oai,Thôn Nhân Hòa – Tả Thanh Oai – Thanh Trì – Hà Nội
THCS Tân Triều,"Ngõ 138, Triều Khúc, Xã Tân Triều, H. Thanh Trì, Tp. Hà Nội"
THCS Tam Hiệp,"Huỳnh Cung, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội"
THCS Ngũ Hiệp,Thôn Việt Yên – xã Ngũ Hiệp – huyện Thanh Trì – TP Hà Nội
THCS Ngọc Hồi,Thôn Yên Kiện – Xã Ngọc Hồi – Huyện Thanh Trì – Hà Nội
THCS Liên Ninh,"1A, thôn Yên Phú, Xã Liên Ninh, Huyện Thanh Trì, Thành phố Hà Nội"
THCS Hữu Hòa,"Thôn Hữu Trung Hữu hoà, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội"
THCS Duyên Hà,Xã Duyên Hà – Huyện Thanh Trì – Hà Nội
THCS VẠN YÊN,Xã Vạn Yên – Mê Linh
THCS VĂN KHÊ B,Xã Văn Khê – Mê Linh
THCS VĂN KHÊ A,Xã Văn Khê – Mê Linh
THCS TỰ LẬP,Xã Tự Lập – Mê Linh
THCS TRƯNG VƯƠNG – MÊ LINH,Xã Thanh Lâm – Mê Linh
THCS TRÁNG VIỆT,Xã Tráng Việt – Mê Linh
THCS TIẾN THỊNH,Xã Tiến Thịnh – Mê Linh
THCS TIẾN THẮNG,Xã Tiến Thắng – Mê Linh
THCS TIỀN PHONG – MÊ LINH,Xã Tiền Phong – Mê Linh
THCS THANH LÂM B,Xã Thanh Lâm – Mê Linh
THCS THANH LÂM A,Xã Thanh Lâm – Mê Linh
THCS TAM ĐỒNG,Xã Tam Đồng – Mê Linh
THCS QUANG MINH,TT Quang Minh – Mê Linh
THCS Phạm Hồng Thái,Xã Thạch Đà – Mê Linh
THCS MÊ LINH,Xã Mê Linh – Mê Linh
THCS LIÊN MẠC B,Xã Liên Mạc – Mê Linh
THCS LIÊN MẠC A,Xã Kim Hoa – Mê Linh
THCS KIM HOA,Xã Kim Hoa – Mê Linh
THCS HOÀNG KIM,Xã Hoàng Kim -mê Linh
THCS ĐẠI THỊNH A,Xã Đại Thịnh – Mê Linh
THCS CHU PHAN,Xã Chu Phan – Mê Linh
THCS CHI ĐÔNG,TT Chi Đông – Mê Linh
THCS XUÂN SƠN,Xã Xuân Sơn
THCS XUÂN KHANH,Phường Xuân Khanh
THCS VIÊN SƠN,Phường Viên Sơn
THCS TRUNG SƠN TRẦM,Phường Trung Sơn Trầm
THCS TRUNG HƯNG,Phường Trung Hưng
THCS THANH MỸ,Xã Thanh Mỹ
THCS SƠN TÂY,Phường Trung Hưng
THCS SƠN LỘC,Phường Sơn Lộc
